2016-04-04 23:39:12,388 - INFO - 1411:Dummy-29 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 9, u'cid': u'K051AR1TAKDNG6QYGFPR6VCG0RT9', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:39:12,415 - INFO - 1411:Dummy-30 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 10, u'cid': u'K04XB2PHHT4DETN9Q552XAT6AJ6F', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:39:29,430 - INFO - 1411:Dummy-32 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 3, u'cid': u'K0429HD3ZB6BA7AT1FTA717PV7VC', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:39:29,444 - INFO - 1411:Dummy-33 - zato_scheduler:22 - Job executed `zato.stats.process-raw-times`, `{u'interval_in_seconds': 90.0, u'name': u'zato.stats.process-raw-times', u'current_run': 2, u'cid': u'K071PFPKP0H26HZ1BHW183RBQHC5', u'start_time': '2016-04-04T21:37:58.697253', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.process-raw-times', u'extra': 'max_batch_size=99999'}, u'type': u'interval_based', u'id': 1}`
2016-04-04 23:39:29,503 - INFO - 1411:Dummy-34 - zato_scheduler:22 - Job executed `zato.outgoing.sql.auto-ping`, `{u'interval_in_seconds': 180.0, u'name': u'zato.outgoing.sql.auto-ping', u'current_run': 1, u'cid': u'K07RT5TQ0B7X5RW1TK0DK0RGH07G', u'start_time': '2016-04-04T21:39:28.793005', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.outgoing.sql.auto-ping', u'extra': ''}, u'type': u'interval_based', u'id': 10}`
2016-04-04 23:39:42,389 - INFO - 1411:Dummy-36 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 11, u'cid': u'K04H6W5GTCHRX0RGB3W6S0YV0VXS', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:39:42,416 - INFO - 1411:Dummy-37 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 12, u'cid': u'K070E1TQNETFZX1KCKB47QQK4QXT', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:40:12,390 - INFO - 1411:Dummy-39 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 13, u'cid': u'K04EE14Q14SC1G26FHNDME7YGSAJ', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:40:12,417 - INFO - 1411:Dummy-40 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 14, u'cid': u'K06P1QB0J1VHBB8QM4ZB7P0Y8CNY', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:40:29,430 - INFO - 1411:Dummy-42 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 4, u'cid': u'K055AH9FABSK4S5MMX7DZTSFCW3H', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:40:42,391 - INFO - 1411:Dummy-43 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 15, u'cid': u'K04Q7Q3QVATV4X65W8RY92S6AXMG', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:40:42,417 - INFO - 1411:Dummy-44 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 16, u'cid': u'K07MFS9ADQBY5E3HXXDBDF1HWF21', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:40:59,448 - INFO - 1411:Dummy-46 - zato_scheduler:22 - Job executed `zato.stats.process-raw-times`, `{u'interval_in_seconds': 90.0, u'name': u'zato.stats.process-raw-times', u'current_run': 3, u'cid': u'K05EED32G0CQMF3TB93BF3ZJXRN6', u'start_time': '2016-04-04T21:37:58.697253', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.process-raw-times', u'extra': 'max_batch_size=99999'}, u'type': u'interval_based', u'id': 1}`
2016-04-04 23:41:12,391 - INFO - 1411:Dummy-47 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 17, u'cid': u'K06RHJJ1389Q12XNE8VH217PPFJH', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:41:12,418 - INFO - 1411:Dummy-48 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 18, u'cid': u'K04MNPKFWPK12H3E402P163PDCQK', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
