2016-04-04 23:47:42,406 - INFO - 1412:Dummy-46 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:47:42,438 - INFO - 1411:Dummy-108 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:48:12,407 - INFO - 1412:Dummy-47 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:48:12,436 - INFO - 1411:Dummy-111 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:48:42,407 - INFO - 1412:Dummy-50 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:48:42,437 - INFO - 1411:Dummy-118 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:49:12,413 - INFO - 1412:Dummy-51 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:49:12,437 - INFO - 1411:Dummy-121 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:49:42,407 - INFO - 1412:Dummy-53 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:49:42,438 - INFO - 1411:Dummy-125 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:50:12,408 - INFO - 1412:Dummy-55 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:50:12,438 - INFO - 1411:Dummy-129 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:50:42,409 - INFO - 1412:Dummy-57 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:50:42,438 - INFO - 1411:Dummy-133 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:51:12,411 - INFO - 1412:Dummy-58 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:51:12,440 - INFO - 1411:Dummy-136 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:51:42,410 - INFO - 1412:Dummy-61 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:51:42,444 - INFO - 1411:Dummy-143 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:52:12,412 - INFO - 1412:Dummy-62 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:52:12,443 - INFO - 1411:Dummy-146 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:52:42,413 - INFO - 1412:Dummy-64 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:52:42,441 - INFO - 1411:Dummy-150 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:53:12,455 - INFO - 1412:Dummy-66 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:53:12,466 - INFO - 1411:Dummy-154 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:53:42,446 - INFO - 1412:Dummy-68 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:53:42,474 - INFO - 1411:Dummy-158 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:54:12,425 - INFO - 1412:Dummy-69 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:54:12,445 - INFO - 1411:Dummy-161 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:54:42,419 - INFO - 1412:Dummy-72 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:54:42,446 - INFO - 1411:Dummy-168 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:55:12,419 - INFO - 1412:Dummy-73 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:55:12,447 - INFO - 1411:Dummy-171 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:55:42,419 - INFO - 1412:Dummy-75 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:55:42,448 - INFO - 1411:Dummy-175 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:56:12,420 - INFO - 1412:Dummy-77 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:56:12,448 - INFO - 1411:Dummy-179 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:56:42,423 - INFO - 1412:Dummy-80 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:56:42,450 - INFO - 1411:Dummy-188 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:57:12,422 - INFO - 1412:Dummy-81 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:57:12,451 - INFO - 1411:Dummy-191 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:57:42,422 - INFO - 1412:Dummy-84 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:57:42,452 - INFO - 1411:Dummy-198 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:58:12,423 - INFO - 1412:Dummy-85 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:58:12,454 - INFO - 1411:Dummy-201 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:58:42,423 - INFO - 1412:Dummy-87 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:58:42,453 - INFO - 1411:Dummy-205 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:59:12,424 - INFO - 1412:Dummy-89 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:59:12,455 - INFO - 1411:Dummy-209 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:59:42,425 - INFO - 1412:Dummy-91 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-04 23:59:42,455 - INFO - 1411:Dummy-213 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:00:12,426 - INFO - 1412:Dummy-92 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:00:12,455 - INFO - 1411:Dummy-216 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:00:42,427 - INFO - 1412:Dummy-95 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:00:42,456 - INFO - 1411:Dummy-223 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:01:12,427 - INFO - 1412:Dummy-96 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:01:12,456 - INFO - 1411:Dummy-226 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:01:42,535 - INFO - 1412:Dummy-98 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:01:42,561 - INFO - 1411:Dummy-230 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:02:12,428 - INFO - 1412:Dummy-100 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:02:12,538 - INFO - 1411:Dummy-234 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:02:42,429 - INFO - 1412:Dummy-102 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:02:42,459 - INFO - 1411:Dummy-238 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:03:12,430 - INFO - 1412:Dummy-103 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:03:12,461 - INFO - 1411:Dummy-241 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:03:42,430 - INFO - 1412:Dummy-106 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:03:42,461 - INFO - 1411:Dummy-248 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:04:12,431 - INFO - 1412:Dummy-107 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:04:12,461 - INFO - 1411:Dummy-251 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:04:42,437 - INFO - 1412:Dummy-109 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:04:42,463 - INFO - 1411:Dummy-255 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:05:12,436 - INFO - 1412:Dummy-111 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:05:12,463 - INFO - 1411:Dummy-259 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:05:42,431 - INFO - 1412:Dummy-113 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:05:42,464 - INFO - 1411:Dummy-263 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:06:12,480 - INFO - 1412:Dummy-114 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:06:12,482 - INFO - 1411:Dummy-266 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:06:42,487 - INFO - 1412:Dummy-118 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:06:42,512 - INFO - 1411:Dummy-278 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:07:12,441 - INFO - 1412:Dummy-119 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:07:12,469 - INFO - 1411:Dummy-281 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:07:42,441 - INFO - 1412:Dummy-121 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:07:42,469 - INFO - 1411:Dummy-285 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
2016-04-05 00:08:12,454 - INFO - 1412:Dummy-123 - zato_singleton:22 - Cluster-wide singleton keep-alive OK, server id:[2], name:[server2] 
